station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR S/O SATHYANATHAN.S,S.SATHISH KUMAR S/O SRIRAMULU,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
127,4,436,47,110,0,0,47,1,0,0,3,1,0,2,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,656,8,664
128,2,336,60,158,1,0,47,0,1,0,1,0,2,2,2,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,618,20,638
129,1,353,53,191,0,1,24,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,627,5,632
130,2,672,38,66,0,1,23,0,0,0,3,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,814,4,818
131,1,422,16,33,2,0,17,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,495,6,501
132,1,459,30,63,0,0,10,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,568,3,571
133,2,545,21,9,0,1,8,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,593,7,600
134,1,403,18,7,0,1,11,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,446,6,452
135,0,334,18,18,0,0,11,0,1,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,389,1,390
136,2,418,23,21,1,0,15,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,485,3,488
137,1,523,17,8,1,0,7,0,0,1,0,3,0,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,569,3,572
138,0,327,3,1,0,0,6,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,343,2,345
139,2,462,22,18,0,0,16,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,3,529
140,0,580,35,26,0,0,15,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,664,6,670
141,0,253,37,62,0,0,18,0,0,0,3,0,0,1,1,0,1,2,0,1,0,1,0,2,0,0,1,0,0,0,0,383,9,392
142,0,370,51,64,0,1,32,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,523,7,530
143,1,363,27,191,1,1,36,1,0,0,1,0,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,630,3,633
144,0,346,47,52,0,0,23,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,474,2,476
145,0,271,31,41,0,1,13,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,364,6,370
146,1,457,21,36,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,528,2,530
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2,560,69,47,0,1,37,0,0,0,1,0,0,3,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,725,6,731
149,1,654,56,31,0,0,33,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,779,5,784
150,1,310,44,17,0,0,40,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,418,2,420
151,1,329,34,30,0,0,28,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,427,7,434
152,0,288,12,62,0,0,13,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,7,386
153,1,114,10,24,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,162,1,163
154,1,308,32,155,0,0,32,0,0,0,3,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,537,7,544
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,1,480,68,109,2,1,48,1,1,1,1,0,1,1,0,0,2,2,0,0,1,0,0,2,0,1,1,0,0,0,0,724,11,735
157,0,467,15,51,0,0,17,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,555,8,563
158,1,501,5,25,0,0,16,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,6,558
159,1,459,18,63,0,0,28,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,574,8,582
160,0,659,28,90,0,0,23,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,810,5,815
161,1,531,22,21,0,1,16,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,600,4,604
162,2,687,22,7,0,0,10,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,737,5,742
163,1,592,27,11,0,0,8,0,0,0,3,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,650,1,651
164,1,656,34,13,0,1,11,0,0,0,0,3,0,1,0,1,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,727,2,729
165,1,640,39,122,0,1,24,1,2,0,2,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,839,8,847
166,0,374,3,19,0,0,11,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,414,3,417
167,1,520,16,11,0,0,8,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,561,4,565
168,0,516,24,59,1,1,26,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,633,7,640
169,0,451,16,70,0,0,24,1,0,0,2,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,570,6,576
170,3,497,56,77,0,0,34,0,0,1,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,8,684
171,0,398,42,131,0,0,30,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,609,6,615
172,0,402,58,107,1,1,49,0,0,0,5,1,0,2,0,1,1,1,0,0,2,0,0,0,1,0,0,1,0,1,0,634,6,640
173,2,498,10,146,0,0,27,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,691,7,698
174,3,360,58,216,0,2,27,0,0,0,2,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,2,1,0,0,0,677,10,687
175,4,363,40,281,1,0,29,0,0,1,4,0,0,1,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,730,12,742
176,6,542,75,56,2,0,52,1,0,0,1,0,2,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,744,8,752
177,4,447,33,157,1,0,46,1,1,0,2,0,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,8,709
178,0,379,44,182,0,2,28,0,0,0,1,1,0,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,645,5,650
