station_no,SAMARAN,DAYANIDHI MARAN,B. PARTHASARATHY,VINOJ,M.L.RAVI,C.S.KARNAN,Dr.R.KARTHIKEYAN,K.CHANDRASEKAR,SENTHILKUMAR,A.SELVA KUMAR,DILAVAR ALI,AGNI AALVAR,P.ARJUNAN,ANBAZHAGAN G,UDAYA KUMAR V,G.OMPRAKASH,S.KANDASAMY,L.KASINATHAN,S.SATHISH KUMAR,S.SATHISH KUMAR,DHAYANIDHI SURESH,V.V.TAMILARASAN,M.NAGARAJ,J.NAGARAJ,B.PARTHASARATHY,MANJUNATHA.R,R.MINNAL RAJ,RANJITHKUMAR.S,RAVI BALARAMAN,N.RAMAN,R.VIJAY,total_valid,nota,total
129,0,53,4,340,2,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,1,0,1,0,409,11,420
130,2,141,5,290,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,2,453
131,1,101,12,328,2,1,15,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,1,0,0,0,0,0,0,1,0,470,9,476
132,1,123,21,64,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,5,231
133,2,421,80,70,2,1,33,1,0,1,2,1,0,4,2,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,2,630,9,642
134,1,116,9,380,2,1,4,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,519,9,528
135,10,751,93,21,0,0,72,0,0,0,5,1,1,4,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,966,6,972
136,5,600,79,23,0,0,61,0,0,0,3,2,0,5,0,0,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,786,5,790
137,3,657,97,24,1,1,52,0,0,0,0,1,3,3,2,0,2,6,1,1,0,0,0,1,0,0,0,0,0,1,0,856,7,863
138,1,69,6,221,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,5,307
139,1,103,12,267,0,0,7,0,0,1,0,2,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,402,8,409
140,0,54,1,202,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,261,4,265
141,0,199,20,387,1,0,25,1,0,0,1,0,0,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,641,6,647
142,0,72,4,336,0,0,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,7,429
143,0,101,14,306,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,425,7,432
144,0,133,13,245,2,0,10,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,6,413
145,0,164,18,309,0,0,9,1,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,506,5,510
146,3,154,30,316,3,0,6,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,523,7,529
