booth_number,pdf_file,18-21_Male,18-21_Female,18-21_Total,18-21_Male%,18-21_Female%,18-21_of_Booth%,22-29_Male,22-29_Female,22-29_Total,22-29_Male%,22-29_Female%,22-29_of_Booth%,30-39_Male,30-39_Female,30-39_Total,30-39_Male%,30-39_Female%,30-39_of_Booth%,40-49_Male,40-49_Female,40-49_Total,40-49_Male%,40-49_Female%,40-49_of_Booth%,50-59_Male,50-59_Female,50-59_Total,50-59_Male%,50-59_Female%,50-59_of_Booth%,60-69_Male,60-69_Female,60-69_Total,60-69_Male%,60-69_Female%,60-69_of_Booth%,70+_Male,70+_Female,70+_Total,70+_Male%,70+_Female%,70+_of_Booth%,Booth_Total_Male,Booth_Total_Female,Booth_Total_Other,Booth_Total,Booth_Male%,Booth_Female%
145,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-145-WI.pdf,13,10,23,56.5,43.5,4.3,47,38,85,55.3,44.7,15.7,62,49,111,55.9,44.1,20.6,58,55,113,51.3,48.7,20.9,49,46,95,51.6,48.4,17.6,30,31,61,49.2,50.8,11.3,30,22,52,57.7,42.3,9.6,289,251,0,540,53.5,46.5
146,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-146-WI.pdf,11,4,15,73.3,26.7,4.7,28,23,51,54.9,45.1,16.1,36,26,62,58.1,41.9,19.6,30,40,70,42.9,57.1,22.2,34,35,69,49.3,50.7,21.8,18,15,33,54.5,45.5,10.4,10,6,16,62.5,37.5,5.1,167,149,0,316,52.8,47.2
147,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-147-WI.pdf,4,1,5,80.0,20.0,1.6,27,18,45,60.0,40.0,14.0,36,43,79,45.6,54.4,24.6,34,44,78,43.6,56.4,24.3,24,25,49,49.0,51.0,15.3,16,25,41,39.0,61.0,12.8,12,12,24,50.0,50.0,7.5,153,168,0,321,47.7,52.3
148,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-148-WI.pdf,6,7,13,46.2,53.8,3.4,29,17,46,63.0,37.0,11.9,42,41,83,50.6,49.4,21.6,55,56,111,49.5,50.5,28.8,31,40,71,43.7,56.3,18.4,26,22,48,54.2,45.8,12.5,5,8,13,38.5,61.5,3.4,194,191,0,385,50.4,49.6
149,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-149-WI.pdf,5,7,12,41.7,58.3,2.1,36,31,67,53.7,46.3,11.5,57,42,99,57.6,42.4,17.0,69,59,128,53.9,46.1,22.0,70,72,142,49.3,50.7,24.4,38,38,76,50.0,50.0,13.1,27,30,57,47.4,52.6,9.8,302,279,0,581,52.0,48.0
150,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-150-WI.pdf,20,34,54,37.0,63.0,6.1,127,111,238,53.4,46.6,27.0,106,126,232,45.7,54.3,26.3,87,106,193,45.1,54.9,21.9,54,51,105,51.4,48.6,11.9,16,24,40,40.0,60.0,4.5,11,10,21,52.4,47.6,2.4,421,462,0,883,47.7,52.3
151,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-151-WI.pdf,27,13,40,67.5,32.5,4.3,66,82,148,44.6,55.4,15.9,99,132,231,42.9,57.1,24.8,133,144,277,48.0,52.0,29.7,74,76,150,49.3,50.7,16.1,28,40,68,41.2,58.8,7.3,1,18,19,5.3,94.7,2.0,428,505,0,933,45.9,54.1
152,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-152-WI.pdf,28,22,50,56.0,44.0,5.5,86,86,172,50.0,50.0,19.0,94,119,213,44.1,55.9,23.5,121,124,245,49.4,50.6,27.0,75,75,150,50.0,50.0,16.5,23,30,53,43.4,56.6,5.8,7,17,24,29.2,70.8,2.6,434,473,0,907,47.9,52.1
153,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-153-WI.pdf,12,28,40,30.0,70.0,6.2,47,62,109,43.1,56.9,16.8,80,66,146,54.8,45.2,22.5,92,107,199,46.2,53.8,30.7,45,45,90,50.0,50.0,13.9,19,26,45,42.2,57.8,6.9,7,12,19,36.8,63.2,2.9,302,346,0,648,46.6,53.4
154,2026-EROLLGEN-S22-18-SIR-DraftRoll-Revision1-TAM-154-WI.pdf,6,2,8,75.0,25.0,2.2,25,13,38,65.8,34.2,10.6,46,31,77,59.7,40.3,21.4,39,47,86,45.3,54.7,24.0,39,27,66,59.1,40.9,18.4,25,34,59,42.4,57.6,16.4,12,13,25,48.0,52.0,7.0,192,167,0,359,53.5,46.5
